reviewer_type,decision,metric,n,mean,std,median
reviewer2,Reject,Critical_Recall,290,0.5813651724137932,0.3053222586953242,0.6
reviewer2,Reject,Minor_Recall,321,0.45448691588785056,0.184004380425497,0.4375
reviewer2,Reject,nCPS,321,0.9775629283489096,0.030322829108577174,1.0
reviewer2,Reject,Raw_CPS,321,8.642571651090343,2.731149759220021,8.2103
reviewer2,Reject,Total_Arguments,321,9.903426791277258,3.3689789952454414,9.0
reviewer2,Reject,R_premise,321,0.39005233644859816,0.19683930581780776,0.375
reviewer2,Reject,S_depth,321,0.45338411214953267,0.13493033490671172,0.5
reviewer2,Reject,DoA_score,321,0.17368286604361372,0.1029769603443417,0.1569
reviewer2,Reject,Total_Claims,321,28.598130841121495,12.233810587683918,30.0
reviewer2,Reject,Total_Premises,321,18.289719626168225,11.826355111937273,16.0
reviewer2,Reject,n_arcs,322,21.593167701863354,8.630472884410713,23.0
reviewer2,Reject,n_weaknesses,322,9.18944099378882,5.608028318224039,10.0
reviewer2,Reject,n_strengths,322,3.487577639751553,2.4573941511695905,4.0
reviewer2,Reject,MCS,289,0.574312802768166,0.1103285636341539,0.581
reviewer2,Reject,AR,289,0.7896882352941176,0.17910924040931,0.8
reviewer2,Reject,SD,289,0.04752145328719723,0.08628712620819813,0.0
reviewer2,Reject,CD,289,0.5837861591695502,0.28830829614704234,0.6154
reviewer2,Reject,D1_actionability_mean,289,1.2003923875432525,0.3578763669747857,1.1923
reviewer2,Reject,D3_justification_mean,289,0.9501782006920415,0.4177384162594739,0.9545
reviewer2,Reject,D4_solution_mean,289,0.2725484429065744,0.240698788410658,0.2333
reviewer2,Reject,D5_tone_mean,289,1.5543747404844293,0.49008746004329257,1.5
sea,Accept,Total_Valid_Flaws_Found,678,4.228613569321534,2.4685809727130104,4.0
sea,Accept,Critical_Recall,470,0.22464106382978724,0.2751968161659283,0.125
sea,Accept,Minor_Recall,677,0.2494141802067947,0.1526176732142202,0.2222
sea,Accept,nCPS,678,0.9758463126843657,0.09300821762729554,1.0
sea,Accept,Raw_CPS,678,3.4523786135693215,1.6074048411639146,3.2619
sea,Accept,Total_Arguments,678,3.9808259587020647,2.0208480375662083,4.0
sea,Accept,R_premise,678,0.3838597345132743,0.2150316293273048,0.3846
sea,Accept,S_depth,678,0.4682541297935104,0.12308199176305715,0.5
sea,Accept,DoA_score,678,0.18683849557522125,0.1059372265094302,0.1875
sea,Accept,Total_Claims,678,12.34070796460177,5.156100409520083,12.0
sea,Accept,Total_Premises,678,7.896755162241888,5.1222532519574795,7.0
sea,Accept,n_arcs,678,15.337758112094395,5.40496699628373,15.0
sea,Accept,n_weaknesses,678,3.9587020648967552,2.2863165172093445,3.0
sea,Accept,n_strengths,678,4.320058997050148,2.831962328787109,4.0
sea,Accept,MCS,675,0.4994152592592593,0.09211608317052443,0.4842
sea,Accept,AR,675,0.6275084444444444,0.2320900835603334,0.5882
sea,Accept,SD,675,0.04098162962962963,0.11024107621291043,0.0
sea,Accept,CD,675,0.32821807407407405,0.2544188082072139,0.2857
sea,Accept,D1_actionability_mean,675,0.9003528888888889,0.4017245942396518,0.8333
sea,Accept,D3_justification_mean,675,0.4701782222222222,0.4101235821020798,0.4
sea,Accept,D4_solution_mean,675,0.3649474074074074,0.283224111707438,0.2857
sea,Accept,D5_tone_mean,675,1.5973226666666667,0.2447263518799131,1.6
sea,Reject,Total_Valid_Flaws_Found,321,4.190031152647975,1.969619331628952,4.0
sea,Reject,Critical_Recall,267,0.21852134831460673,0.26504818733619984,0.125
sea,Reject,Minor_Recall,321,0.24281401869158878,0.13920010334626964,0.2222
sea,Reject,nCPS,321,0.9785423676012461,0.04422510259317605,1.0
sea,Reject,Raw_CPS,321,3.577473208722741,1.6223020184578716,3.2619
sea,Reject,Total_Arguments,321,3.9781931464174454,1.967586840542974,4.0
sea,Reject,R_premise,322,0.37554068322981365,0.19989318344635165,0.4
sea,Reject,S_depth,322,0.44999472049689443,0.13622928378363444,0.5
sea,Reject,DoA_score,322,0.17950062111801243,0.09833509592183093,0.1875
sea,Reject,Total_Claims,322,12.475155279503106,5.006631503324473,12.0
sea,Reject,Total_Premises,322,7.478260869565218,4.370086587138416,7.0
sea,Reject,n_arcs,322,14.5527950310559,5.328347304592231,14.0
sea,Reject,n_weaknesses,322,4.040372670807454,2.5038755973692575,3.0
sea,Reject,n_strengths,322,4.195652173913044,2.7698161218833834,4.0
sea,Reject,MCS,321,0.49504984423676,0.09360747637228642,0.4818
sea,Reject,AR,321,0.638791277258567,0.23686711949672545,0.6
sea,Reject,SD,321,0.04042741433021807,0.09185472495253533,0.0
sea,Reject,CD,321,0.3219570093457944,0.2634929482377622,0.25
sea,Reject,D1_actionability_mean,321,0.9105146417445484,0.41391943155184124,0.8462
sea,Reject,D3_justification_mean,321,0.4571803738317758,0.40083384465369165,0.3571
sea,Reject,D4_solution_mean,321,0.3783666666666667,0.2745736041650156,0.2963
sea,Reject,D5_tone_mean,321,1.5825984423676012,0.25553769199242643,1.5833
tree,Accept,Total_Valid_Flaws_Found,677,5.750369276218612,2.302176872995994,6.0
tree,Accept,Critical_Recall,499,0.31380340681362723,0.334292712092035,0.25
tree,Accept,Minor_Recall,675,0.3192062222222222,0.14643006074982293,0.3077
tree,Accept,nCPS,677,0.9729469719350075,0.06857468293390716,1.0
tree,Accept,Raw_CPS,677,4.331452437223042,1.5976280482098277,4.1925
tree,Accept,Total_Arguments,677,5.360413589364845,1.8605445074476865,5.0
tree,Accept,R_premise,678,0.3240705014749262,0.15929454277840172,0.3103
tree,Accept,S_depth,678,0.44419705014749267,0.12160241274731327,0.5
tree,Accept,DoA_score,678,0.14792802359882004,0.08314794122119278,0.1379
tree,Accept,Total_Claims,678,19.553097345132745,7.646702931632106,21.0
tree,Accept,Total_Premises,678,8.9070796460177,4.940285368673331,8.0
tree,Accept,n_arcs,678,20.446902654867255,6.667630364371332,22.0
tree,Accept,n_weaknesses,678,8.200589970501476,5.60975092246792,10.0
tree,Accept,n_strengths,678,2.9454277286135695,2.580743605398943,4.0
tree,Accept,MCS,657,0.48870852359208516,0.1278772466141959,0.4789
tree,Accept,AR,657,0.7711432267884323,0.18024772009129145,0.7407
tree,Accept,SD,657,0.04775829528158296,0.130096961830695,0.0
tree,Accept,CD,657,0.3293015220700152,0.29264531463976423,0.2632
tree,Accept,D1_actionability_mean,657,1.0467060882800607,0.2872627403711788,1.0
tree,Accept,D3_justification_mean,657,0.6520167427701674,0.4809014448811363,0.5
tree,Accept,D4_solution_mean,657,0.3668563165905632,0.3571087346712273,0.25
tree,Accept,D5_tone_mean,657,1.2889456621004565,0.6016991680199837,1.4
tree,Reject,Total_Valid_Flaws_Found,321,6.059190031152648,2.190801358384715,6.0
tree,Reject,Critical_Recall,262,0.26867938931297713,0.2860837289268891,0.2
tree,Reject,Minor_Recall,321,0.3477299065420561,0.15296320792204815,0.3333
tree,Reject,nCPS,321,0.9713747663551402,0.04593530319942783,1.0
tree,Reject,Raw_CPS,321,4.509139563862928,1.499953530892227,4.5794
tree,Reject,Total_Arguments,321,5.4953271028037385,1.7626710827021566,5.0
tree,Reject,R_premise,322,0.3523257763975155,0.15167824606842015,0.3425
tree,Reject,S_depth,322,0.46229223602484465,0.0986804861700015,0.5
tree,Reject,DoA_score,322,0.16441490683229815,0.08162683932745052,0.1588
tree,Reject,Total_Claims,322,18.31366459627329,7.863579812240598,20.0
