reviewer_type,metric,mean_Accept,mean_Reject,delta_Accept_minus_Reject,pct_delta_vs_Reject,n_Accept,n_Reject,std_Accept,std_Reject,cohens_d
cyclereview,SD,0.042606696428571435,0.060005329153605014,-0.01739863272503358,-0.28995145881952555,672,319,0.14196450764363905,0.17057233513202344,-0.11465147000498106
cyclereview,S_depth,0.4386007374631268,0.4349655279503105,0.003635209512816262,0.008357465774233816,678,322,0.13930152756847922,0.1290016448898999,0.02671500067014981
cyclereview,Total_Arguments,3.1584786053882725,3.2066666666666666,-0.048188061278394034,-0.015027461937129118,631,300,1.590723175592454,1.425034960161034,-0.03130429057469333
cyclereview,Total_Claims,6.5825958702064895,6.39751552795031,0.1850803422561791,0.028930034080820226,678,322,5.1836116355572255,4.428426305162656,0.03736514803825563
cyclereview,Total_Premises,9.800884955752212,9.717391304347826,0.08349365140438536,0.008592187840272318,678,322,5.128499377270944,4.956283217217307,0.016456020586207012
cyclereview,Total_Valid_Flaws_Found,3.0824088748019016,3.216666666666667,-0.13425779186476516,-0.04173817363671456,631,300,2.185709262862374,1.8658313547505099,-0.06429630186601074
cyclereview,nCPS,0.9703451664025358,0.9709273333333333,-0.0005821669307974897,-0.0005995988688451347,631,300,0.11781187575057572,0.07563572300752995,-0.005487822009622732
cyclereview,n_arcs,6.9174041297935105,6.807453416149069,0.10995071364444176,0.01615151906638241,678,322,3.1036678713959795,2.8624010746492887,0.03630936736964371
cyclereview,n_strengths,0.02359882005899705,0.012422360248447204,0.011176459810549846,0.8997050147492627,678,322,0.26522312693120664,0.22291128503014118,0.04428270099029208
cyclereview,n_weaknesses,3.489675516224189,3.5527950310559007,-0.06311951483171185,-0.017766157146688128,678,322,1.8517538210057534,1.7343896414190894,-0.03477979955086467
deepreview,AR,0.8348030120481926,0.8361157728706624,-0.0013127608224697829,-0.0015700706350301706,664,317,0.127541440542949,0.12529639418594168,-0.010351278226501894
deepreview,CD,0.6069120481927711,0.631560883280757,-0.024648835087985876,-0.039028438493440336,664,317,0.22033415649479357,0.22261042470324502,-0.11149714394988496
deepreview,Critical_Recall,0.3753246987951807,0.31814668989547035,0.057178008899710364,0.17972215558331492,498,287,0.3434418898776707,0.2831667881484931,0.17716797683829244
deepreview,D1_actionability_mean,1.4076439759036146,1.426951735015773,-0.01930775911215843,-0.013530772371880545,664,317,0.29484202942694027,0.2942083106177274,-0.06553052732396554
deepreview,D3_justification_mean,0.5700189759036145,0.6022905362776025,-0.03227156037398804,-0.0535813837843763,664,317,0.36196780908366144,0.3896409339915406,-0.08695587812887427
deepreview,D4_solution_mean,0.7799025602409639,0.7927873817034701,-0.012884821462506135,-0.01625255618324852,664,317,0.28702435432964973,0.2965327702423739,-0.04441088935564566
deepreview,D5_tone_mean,1.7250719879518075,1.7292940063091486,-0.004222018357341151,-0.002441469375327479,664,317,0.28450464474117115,0.2953256074673974,-0.014657655964554333
deepreview,DoA_score,0.2641065573770492,0.2667555900621118,-0.0026490326850626134,-0.009930561096941992,671,322,0.10884367614856474,0.11081442283483554,-0.02419519147215401
deepreview,MCS,0.6314778614457832,0.6380665615141956,-0.00658870006841239,-0.010326038795665373,664,317,0.08477978896077866,0.08732291421318751,-0.07696278233243364
deepreview,Minor_Recall,0.2305310650887574,0.23140155763239875,-0.0008704925436413546,-0.00376182663828135,676,321,0.15239578572783646,0.1434326702805752,-0.005819898260529455
deepreview,R_premise,0.5943684053651267,0.6003406832298137,-0.0059722778646870145,-0.009948147829256465,671,322,0.1771018259688002,0.1779309211494432,-0.03367114334952934
deepreview,Raw_CPS,3.4399271787296897,3.6457847352024917,-0.20585755647280202,-0.05646453957775113,677,321,1.5340381445501219,1.5996995274457038,-0.1323471370708869
deepreview,SD,0.28892620481927705,0.29333785488958986,-0.0044116500703128,-0.01503948432422168,664,317,0.16308776003168063,0.1750777261905185,-0.02640885192908209
deepreview,S_depth,0.44262309985096865,0.44565683229813663,-0.0030337324471679805,-0.006807328480803962,671,322,0.13590194682993922,0.1412751541847837,-0.022037003985230716
deepreview,Total_Arguments,4.008862629246677,4.102803738317757,-0.09394110907108022,-0.02289680790570748,677,321,2.0227796009307584,2.1151296330215748,-0.04576012381492255
deepreview,Total_Claims,8.013412816691504,8.298136645962733,-0.2847238292712291,-0.03431177882684722,671,322,7.817019251421172,10.321827412221499,-0.032698234318329904
deepreview,Total_Premises,11.657228017883755,11.425465838509316,0.23176217937443866,0.020284702842775008,671,322,9.479054871656276,6.595266682796793,0.026790646303216797
deepreview,Total_Valid_Flaws_Found,4.366322008862629,4.4485981308411215,-0.08227612197849243,-0.018494842545585484,677,321,3.1329401237868924,2.409228266711458,-0.028176323427887794
deepreview,nCPS,0.9715285081240769,0.9609806853582556,0.010547822765821224,0.010976102773479754,677,321,0.08026974088328202,0.05739232473318027,0.1431222919007872
deepreview,n_arcs,14.685543964232489,14.596273291925465,0.08927067230702335,0.006115990741034366,671,322,4.819216784148281,4.997667844874814,0.01830166613988946
deepreview,n_strengths,2.4098360655737703,2.1801242236024843,0.22971184197128602,0.10536640044836768,671,322,1.5454773121398853,1.4592628137516235,0.15131661764942672
deepreview,n_weaknesses,3.9284649776453056,4.1770186335403725,-0.24855365589506695,-0.05950503880907923,671,322,2.0763653371513993,2.315402804953043,-0.1152474146213652
human,AR,0.7048115351524091,0.7660922670807454,-0.061280731928336274,-0.07999132031687424,678,322,0.15966641536931267,0.12160224703897296,-0.41268808371038207
human,CD,0.5063029314159292,0.5095237784679088,-0.0032208470519795585,-0.006321288991976684,678,322,0.1697024110278851,0.15671838106426622,-0.019445184543569676
human,Critical_Recall,0.28193281290726824,0.33033601270592355,-0.048403199798655316,-0.14652716608814162,665,317,0.1304623914471196,0.12335472724273139,-0.3775200659725286
human,D1_actionability_mean,1.0774772590953785,1.1596467598343687,-0.08216950073899021,-0.07085735379515604,678,322,0.28541886231946717,0.232119120409768,-0.30497744786920905
human,D3_justification_mean,0.7625975762045231,0.7656461231884057,-0.003048546983882683,-0.003981665800366776,678,322,0.2630571646398506,0.2400405521367893,-0.011913971767002991
