conference,reviewer_type,decision,metric,n,mean,std
iclr2026,tree,Reject,Raw_CPS,93,4.388936559139785,1.3923263123108924
iclr2026,tree,Reject,Total_Arguments,93,5.516129032258065,1.7913615372343876
iclr2026,tree,Reject,R_premise,94,0.3189723404255319,0.11826090111316555
iclr2026,tree,Reject,S_depth,94,0.45887021276595746,0.08760325499646546
iclr2026,tree,Reject,DoA_score,94,0.14743617021276598,0.0677628277758962
iclr2026,tree,Reject,Total_Claims,94,21.4468085106383,4.980860186704369
iclr2026,tree,Reject,Total_Premises,94,10.074468085106384,4.25589878230287
iclr2026,tree,Reject,n_arcs,94,21.73404255319149,5.594112750073539
iclr2026,tree,Reject,n_weaknesses,94,9.24468085106383,5.2705025575249165
iclr2026,tree,Reject,n_strengths,94,3.2127659574468086,2.377639293774765
iclr2026,tree,Reject,MCS,93,0.4863903225806451,0.11826487962685997
iclr2026,tree,Reject,AR,93,0.7556720430107531,0.1629958450828088
iclr2026,tree,Reject,SD,93,0.04533333333333334,0.13018475945441116
iclr2026,tree,Reject,CD,93,0.3004451612903226,0.25823978641199924
iclr2026,tree,Reject,D1_actionability_mean,93,1.046843010752688,0.27007185895522784
iclr2026,tree,Reject,D3_justification_mean,93,0.5700043010752688,0.468268153136821
iclr2026,tree,Reject,D4_solution_mean,93,0.31954946236559134,0.327291872673591
iclr2026,tree,Reject,D5_tone_mean,93,1.356640860215054,0.4817043322901281
icml2025,cyclereview,Accept,Total_Valid_Flaws_Found,148,3.081081081081081,2.7193274316374567
icml2025,cyclereview,Accept,Critical_Recall,99,0.25287878787878787,0.322085174206162
icml2025,cyclereview,Accept,Minor_Recall,147,0.18942789115646258,0.15090699021651466
icml2025,cyclereview,Accept,nCPS,148,0.9691385135135135,0.1214860600741219
icml2025,cyclereview,Accept,Raw_CPS,148,2.635206081081081,1.220586199428323
icml2025,cyclereview,Accept,Total_Arguments,148,3.1554054054054053,1.9049267946647732
icml2025,cyclereview,Accept,R_premise,148,0.6015925675675676,0.19541924479666828
icml2025,cyclereview,Accept,S_depth,148,0.43645,0.15994802238210257
icml2025,cyclereview,Accept,DoA_score,148,0.2635067567567567,0.11926982766303623
icml2025,cyclereview,Accept,Total_Claims,148,7.5,6.6049867781954
icml2025,cyclereview,Accept,Total_Premises,148,10.033783783783784,5.552979883412652
icml2025,cyclereview,Accept,n_arcs,148,6.837837837837838,3.4896427005649415
icml2025,cyclereview,Accept,n_weaknesses,148,3.4594594594594597,1.9739058913061278
icml2025,cyclereview,Accept,n_strengths,148,0.006756756756756757,0.08219949365267862
icml2025,cyclereview,Accept,MCS,147,0.5275789115646259,0.09291619160200708
icml2025,cyclereview,Accept,AR,147,0.9329156462585034,0.17641882556516414
icml2025,cyclereview,Accept,SD,147,0.04784013605442177,0.14206278886746973
icml2025,cyclereview,Accept,CD,147,0.4077231292517007,0.3500214547373376
icml2025,cyclereview,Accept,D1_actionability_mean,147,1.3439537414965985,0.464887876343879
icml2025,cyclereview,Accept,D3_justification_mean,147,0.28573605442176875,0.38721276052107734
icml2025,cyclereview,Accept,D4_solution_mean,147,0.4024496598639456,0.35945821186704113
icml2025,cyclereview,Accept,D5_tone_mean,147,1.3557557823129254,0.42343055504912785
icml2025,cyclereview,Reject,Total_Valid_Flaws_Found,52,3.1538461538461537,1.9136723282184016
icml2025,cyclereview,Reject,Critical_Recall,42,0.25802142857142857,0.3146328697074551
icml2025,cyclereview,Reject,Minor_Recall,52,0.21098461538461538,0.14970443348722684
icml2025,cyclereview,Reject,nCPS,52,0.9708942307692306,0.05390217505692391
icml2025,cyclereview,Reject,Raw_CPS,52,2.9116346153846155,1.1055173174448412
icml2025,cyclereview,Reject,Total_Arguments,52,3.3076923076923075,1.379662668893983
icml2025,cyclereview,Reject,R_premise,52,0.590675,0.1725144482440273
icml2025,cyclereview,Reject,S_depth,52,0.4405230769230769,0.11904699618281359
icml2025,cyclereview,Reject,DoA_score,52,0.25955576923076923,0.10110060299942657
icml2025,cyclereview,Reject,Total_Claims,52,7.75,5.5160194514011005
icml2025,cyclereview,Reject,Total_Premises,52,10.538461538461538,5.630663731507612
icml2025,cyclereview,Reject,n_arcs,52,6.826923076923077,2.7059930136726607
icml2025,cyclereview,Reject,n_weaknesses,52,3.673076923076923,1.8011015566858601
icml2025,cyclereview,Reject,n_strengths,52,0.0,0.0
icml2025,cyclereview,Reject,MCS,52,0.5097019230769232,0.09876464297567027
icml2025,cyclereview,Reject,AR,52,0.9058461538461539,0.21779072205300212
icml2025,cyclereview,Reject,SD,52,0.03636153846153846,0.10205026472733945
icml2025,cyclereview,Reject,CD,52,0.3481807692307693,0.34224138657057485
icml2025,cyclereview,Reject,D1_actionability_mean,52,1.2860596153846156,0.49740962693192325
icml2025,cyclereview,Reject,D3_justification_mean,52,0.32158846153846155,0.4617254313787583
icml2025,cyclereview,Reject,D4_solution_mean,52,0.35846730769230767,0.34844781853756773
icml2025,cyclereview,Reject,D5_tone_mean,52,1.2401576923076925,0.3589117972078409
icml2025,deepreview,Accept,Total_Valid_Flaws_Found,147,4.26530612244898,2.546355253471139
icml2025,deepreview,Accept,Critical_Recall,97,0.38889793814432994,0.36859151311088423
icml2025,deepreview,Accept,Minor_Recall,147,0.23132653061224492,0.14473039428893844
icml2025,deepreview,Accept,nCPS,147,0.9795632653061225,0.04739028870177253
icml2025,deepreview,Accept,Raw_CPS,147,3.2751489795918367,1.4037932613940176
icml2025,deepreview,Accept,Total_Arguments,147,4.01360544217687,2.2051819250823517
icml2025,deepreview,Accept,R_premise,147,0.5777619047619047,0.17629174346175544
icml2025,deepreview,Accept,S_depth,147,0.448512925170068,0.13160693306887647
icml2025,deepreview,Accept,DoA_score,147,0.25607142857142856,0.10517028917915648
icml2025,deepreview,Accept,Total_Claims,147,8.741496598639456,11.117115297565817
icml2025,deepreview,Accept,Total_Premises,147,11.210884353741497,9.54099395508235
icml2025,deepreview,Accept,n_arcs,147,14.299319727891156,4.986852530825148
icml2025,deepreview,Accept,n_weaknesses,147,3.9047619047619047,2.120782142271376
icml2025,deepreview,Accept,n_strengths,147,2.2448979591836733,1.473937215139739
icml2025,deepreview,Accept,MCS,145,0.6371848275862069,0.08102770216536585
icml2025,deepreview,Accept,AR,145,0.8363675862068964,0.126330473737842
icml2025,deepreview,Accept,SD,145,0.29315103448275864,0.15995492469114603
icml2025,deepreview,Accept,CD,145,0.6502124137931035,0.22996086469065127
icml2025,deepreview,Accept,D1_actionability_mean,145,1.4154634482758621,0.3020548335553297
icml2025,deepreview,Accept,D3_justification_mean,145,0.5813862068965517,0.4047870365356554
icml2025,deepreview,Accept,D4_solution_mean,145,0.7920441379310345,0.28059489355352524
icml2025,deepreview,Accept,D5_tone_mean,145,1.7584,0.2314752014555531
icml2025,deepreview,Reject,Total_Valid_Flaws_Found,52,4.615384615384615,2.3444038178042503
icml2025,deepreview,Reject,Critical_Recall,45,0.2970888888888889,0.3036511277333535
icml2025,deepreview,Reject,Minor_Recall,52,0.23638269230769232,0.13755498254873177
icml2025,deepreview,Reject,nCPS,52,0.9736538461538462,0.05120950226444255
icml2025,deepreview,Reject,Raw_CPS,52,3.7133749999999996,1.6234366146886563
icml2025,deepreview,Reject,Total_Arguments,52,4.1923076923076925,2.0198860532651244
icml2025,deepreview,Reject,R_premise,52,0.6184096153846154,0.19163639207748778
icml2025,deepreview,Reject,S_depth,52,0.46300576923076925,0.13714620281457124
icml2025,deepreview,Reject,DoA_score,52,0.280926923076923,0.11089360758002065
icml2025,deepreview,Reject,Total_Claims,52,10.23076923076923,17.974508512318963
icml2025,deepreview,Reject,Total_Premises,52,12.923076923076923,7.464546671672343
icml2025,deepreview,Reject,n_arcs,52,15.115384615384615,5.504557278252502
icml2025,deepreview,Reject,n_weaknesses,52,4.153846153846154,2.243811667541793
icml2025,deepreview,Reject,n_strengths,52,2.230769230769231,1.3948839942683633
icml2025,deepreview,Reject,MCS,51,0.6400490196078431,0.09516125760528601
icml2025,deepreview,Reject,AR,51,0.8279882352941177,0.13232272465008998
icml2025,deepreview,Reject,SD,51,0.27921960784313726,0.166365549341933
icml2025,deepreview,Reject,CD,51,0.6423274509803921,0.21809283535084906
icml2025,deepreview,Reject,D1_actionability_mean,51,1.4329215686274508,0.29010538727415974
icml2025,deepreview,Reject,D3_justification_mean,51,0.6412666666666667,0.40118388286005047
icml2025,deepreview,Reject,D4_solution_mean,51,0.7754019607843137,0.2823733978194094
icml2025,deepreview,Reject,D5_tone_mean,51,1.7467196078431373,0.24639155425428674
icml2025,human,Accept,Total_Valid_Flaws_Found,148,4.905591216216218,1.8694938585014058
icml2025,human,Accept,Critical_Recall,144,0.27944256114969135,0.12621603859121153
icml2025,human,Accept,Minor_Recall,148,0.2530074149774775,0.049013009087864386
icml2025,human,Accept,nCPS,148,0.9846210653153155,0.034532428585288745
icml2025,human,Accept,Raw_CPS,148,4.856811226914414,1.39917588113534
icml2025,human,Accept,Total_Arguments,148,5.062212837837838,1.5011112371394797
icml2025,human,Accept,R_premise,148,0.5434256756756757,0.09932478444810644
icml2025,human,Accept,S_depth,148,0.4785790540540541,0.0690373765014368
icml2025,human,Accept,DoA_score,148,0.25937702702702703,0.055914351527560115
icml2025,human,Accept,Total_Claims,148,12.949797297297298,4.753178881805483
icml2025,human,Accept,Total_Premises,148,14.78060810810811,4.647987967357028
icml2025,human,Accept,n_arcs,148,12.834234234234234,3.878103825469072
icml2025,human,Accept,n_weaknesses,148,3.0492117117117115,1.5566529184807825
icml2025,human,Accept,n_strengths,148,3.6293918918918924,2.086823255126047
icml2025,human,Accept,MCS,148,0.5220101689189189,0.07322447831999776
icml2025,human,Accept,AR,148,0.6021214864864864,0.1760550666326935
icml2025,human,Accept,SD,148,0.07211032657657657,0.08256400034799702
icml2025,human,Accept,CD,148,0.41724358108108106,0.1738125787783668
icml2025,human,Accept,D1_actionability_mean,148,0.8788385247747749,0.2818485889507333
icml2025,human,Accept,D3_justification_mean,148,0.7595053153153153,0.2920865479465953
icml2025,human,Accept,D4_solution_mean,148,0.36704465090090094,0.19288416573027803
icml2025,human,Accept,D5_tone_mean,148,1.565529876126126,0.30664124028823336
icml2025,human,Reject,Total_Valid_Flaws_Found,52,5.247179487179488,1.960501623664246
icml2025,human,Reject,Critical_Recall,52,0.32788792788461546,0.14684627646965753
icml2025,human,Reject,Minor_Recall,52,0.2872898782051282,0.07626097701090695
icml2025,human,Reject,nCPS,52,0.9837666025641025,0.01799279184650175
icml2025,human,Reject,Raw_CPS,52,5.5835830512820515,1.6668921153022354
icml2025,human,Reject,Total_Arguments,52,5.429871794871795,1.474406192874062
icml2025,human,Reject,R_premise,52,0.5429423076923077,0.08147005788524418
icml2025,human,Reject,S_depth,52,0.47343846153846153,0.055639801503170536
icml2025,human,Reject,DoA_score,52,0.25450000000000006,0.04780616909899358
icml2025,human,Reject,Total_Claims,52,11.91326923076923,3.143428078222287
icml2025,human,Reject,Total_Premises,52,14.001923076923077,3.4079474809894745
icml2025,human,Reject,n_arcs,52,13.667307692307691,3.2922318312509815
icml2025,human,Reject,n_weaknesses,52,5.104166666666666,2.274222975350526
icml2025,human,Reject,n_strengths,52,2.832371794871795,1.9826107143559646
icml2025,human,Reject,MCS,52,0.5190041987179487,0.06106046926544346
icml2025,human,Reject,AR,52,0.6891627564102565,0.13801935206851343
icml2025,human,Reject,SD,52,0.06750589743589742,0.0681008329223115
icml2025,human,Reject,CD,52,0.4123963461538462,0.1695758045265659
icml2025,human,Reject,D1_actionability_mean,52,0.9679854166666667,0.2339002721465412
icml2025,human,Reject,D3_justification_mean,52,0.7361424038461538,0.23226749176116118
icml2025,human,Reject,D4_solution_mean,52,0.34236807692307697,0.18562681787330026
icml2025,human,Reject,D5_tone_mean,52,1.4490621794871794,0.2520797654542601
icml2025,reviewer2,Accept,Total_Valid_Flaws_Found,147,13.204081632653061,6.119739872157926
icml2025,reviewer2,Accept,Critical_Recall,117,0.7020025641025642,0.27994572918062555
icml2025,reviewer2,Accept,Minor_Recall,147,0.475278231292517,0.1642169657850393
icml2025,reviewer2,Accept,nCPS,147,0.973512925170068,0.03287881916377094
icml2025,reviewer2,Accept,Raw_CPS,147,8.879182993197277,2.6788874461155254
icml2025,reviewer2,Accept,Total_Arguments,147,11.16326530612245,3.4720820336375464
icml2025,reviewer2,Accept,R_premise,148,0.3716472972972973,0.16450503515480966
icml2025,reviewer2,Accept,S_depth,148,0.4177898648648649,0.15578273888115768
icml2025,reviewer2,Accept,DoA_score,148,0.15495675675675674,0.09072623105615439
icml2025,reviewer2,Accept,Total_Claims,148,33.08108108108108,12.21993103374858
icml2025,reviewer2,Accept,Total_Premises,148,19.283783783783782,10.40279955813867
icml2025,reviewer2,Accept,n_arcs,148,22.155405405405407,11.026074746904463
icml2025,reviewer2,Accept,n_weaknesses,148,9.925675675675675,6.493420234597309
icml2025,reviewer2,Accept,n_strengths,148,3.7364864864864864,3.456949003786739
icml2025,reviewer2,Accept,MCS,124,0.5848290322580646,0.09351443849580632
icml2025,reviewer2,Accept,AR,124,0.815092741935484,0.15424939639543367
icml2025,reviewer2,Accept,SD,124,0.03186048387096775,0.0752525750509342
icml2025,reviewer2,Accept,CD,124,0.610674193548387,0.2587084292425219
icml2025,reviewer2,Accept,D1_actionability_mean,124,1.1863629032258063,0.30189094150679724
icml2025,reviewer2,Accept,D3_justification_mean,124,0.9757443548387097,0.4903157028940216
icml2025,reviewer2,Accept,D4_solution_mean,124,0.22859758064516125,0.2607065201886901
icml2025,reviewer2,Accept,D5_tone_mean,124,1.6090467741935484,0.38233973962115764
icml2025,reviewer2,Reject,Total_Valid_Flaws_Found,52,11.403846153846153,5.191469682668227
icml2025,reviewer2,Reject,Critical_Recall,46,0.6358065217391304,0.35586270536210013
icml2025,reviewer2,Reject,Minor_Recall,52,0.4950230769230769,0.22662788245066492
icml2025,reviewer2,Reject,nCPS,52,0.9775403846153847,0.03355469786585446
icml2025,reviewer2,Reject,Raw_CPS,52,8.655973076923077,2.757736559039833
icml2025,reviewer2,Reject,Total_Arguments,52,10.5,4.089680940620971
icml2025,reviewer2,Reject,R_premise,52,0.37330769230769234,0.17081672536715595
icml2025,reviewer2,Reject,S_depth,52,0.44771730769230766,0.13437306820667608
icml2025,reviewer2,Reject,DoA_score,52,0.16960576923076923,0.10138053031449215
icml2025,reviewer2,Reject,Total_Claims,52,33.01923076923077,12.481343543528627
icml2025,reviewer2,Reject,Total_Premises,52,19.442307692307693,11.601915767324659
icml2025,reviewer2,Reject,n_arcs,52,24.615384615384617,6.800097594898975
icml2025,reviewer2,Reject,n_weaknesses,52,9.98076923076923,5.058444248997034
icml2025,reviewer2,Reject,n_strengths,52,3.9423076923076925,2.5851268527183633
icml2025,reviewer2,Reject,MCS,50,0.58228,0.11908991629548366
icml2025,reviewer2,Reject,AR,50,0.8302499999999999,0.171768755622678
icml2025,reviewer2,Reject,SD,50,0.043614,0.07922017628491017
icml2025,reviewer2,Reject,CD,50,0.6243120000000001,0.2760116254871915
icml2025,reviewer2,Reject,D1_actionability_mean,50,1.238218,0.3526575211453857
icml2025,reviewer2,Reject,D3_justification_mean,50,0.9933639999999998,0.45344882336625913
icml2025,reviewer2,Reject,D4_solution_mean,50,0.270552,0.2415117229926058
icml2025,reviewer2,Reject,D5_tone_mean,50,1.498588,0.4781545487665284
icml2025,sea,Accept,Total_Valid_Flaws_Found,148,3.5675675675675675,1.8151372660830076
icml2025,sea,Accept,Critical_Recall,95,0.2069536842105263,0.2630728387164375
icml2025,sea,Accept,Minor_Recall,148,0.20087635135135135,0.11446958504127623
icml2025,sea,Accept,nCPS,148,0.9855472972972972,0.03609517737011969
icml2025,sea,Accept,Raw_CPS,148,2.9956013513513517,1.2841889727315199
icml2025,sea,Accept,Total_Arguments,148,3.2972972972972974,1.4402355224034176
icml2025,sea,Accept,R_premise,148,0.40293716216216213,0.22030167976249662
icml2025,sea,Accept,S_depth,148,0.47430202702702695,0.10117876647290605
icml2025,sea,Accept,DoA_score,148,0.19374324324324324,0.10905384375797769
icml2025,sea,Accept,Total_Claims,148,12.93918918918919,5.42760185746409
icml2025,sea,Accept,Total_Premises,148,8.844594594594595,5.363916781223302
icml2025,sea,Accept,n_arcs,148,15.635135135135135,4.758306233619982
icml2025,sea,Accept,n_weaknesses,148,3.1621621621621623,1.662119186824946
icml2025,sea,Accept,n_strengths,148,4.77027027027027,3.0619334841160324
icml2025,sea,Accept,MCS,148,0.4904074324324325,0.08275485401322695
icml2025,sea,Accept,AR,148,0.5249939189189188,0.2078355689102938
icml2025,sea,Accept,SD,148,0.030202027027027033,0.10797924937312234
icml2025,sea,Accept,CD,148,0.3072486486486486,0.251611744284934
icml2025,sea,Accept,D1_actionability_mean,148,0.735285135135135,0.36696234349894835
icml2025,sea,Accept,D3_justification_mean,148,0.5490195945945946,0.42025374334693727
icml2025,sea,Accept,D4_solution_mean,148,0.29417297297297296,0.2642049445675808
